Year,Urban Area,Functional Class,Functional Class Code,Vehicle Miles Travelled
2013,Small Urban,Other Fwys & Exp,12,570
2014,Rural,Interstate,1,15860
1991,Small Urban,Other Fwys & Exp,12,716
1994,Rural,Minor Arterial,6,16066
2012,Rural,Major Collector,7,11277
2012,Rural,Other Princ Arterial**,4,
2004,Urbanized,Local,19,36858
1994,Urbanized,Other Fwys & Exp,12,39642
1985,Small Urban,Local,19,1949
1988,Urbanized,Collector/Major Collector*,17,14200
1994,Rural,Major Collector,7,14525
1987,Rural,Local,9,10608
2016,Small Urban,Other Princ Arterial,14,3659
2003,Urbanized,Local,19,36136
1995,Small Urban,Minor Arterial,16,5057
2009,Urbanized,Minor Arterial,16,51609
1990,Rural,Interstate,1,15448
2012,Urbanized,Minor Collector,18,
2015,Urbanized,Other Fwys & Exp,12,45530
1993,Urbanized,Interstate,11,38175
1997,Small Urban,Minor Collector,18,
1994,Small Urban,Minor Collector,18,
2015,Small Urban,Collector/Major Collector,17,1865
1995,Small Urban,Minor Collector,18,
2010,Rural,Other Princ Arterial**,4,
1985,Urbanized,Minor Collector,18,
2000,Small Urban,Other Fwys & Exp,12,646
2002,Urbanized,Other Fwys & Exp,12,43292
2005,Small Urban,Interstate,11,2009
1990,Small Urban,Collector/Major Collector,17,1571
1986,Rural,Local,9,10580
2013,Urbanized,Collector/Major Collector*,17,18596
1999,Small Urban,Interstate,11,2354
1997,Small Urban,Other Princ Arterial,14,2689
1999,Urbanized,Collector/Major Collector*,17,18098
1996,Small Urban,Minor Arterial,16,5107
2001,Urbanized,Other Princ Arterial,14,43454
1992,Urbanized,Other Princ Arterial,14,43127
1987,Rural,Major Collector,7,13288
2016,Rural,Minor Collector,8,6993
1996,Urbanized,Interstate,11,40543
1995,Rural,Local,9,8788
2015,Rural,Major Collector,7,10165
2000,Rural,Other Princ Arterial**,2,13853
2011,Urbanized,Minor Arterial,16,43103
2015,Urbanized,Minor Collector,18,281
2005,Small Urban,Other Fwys & Exp,12,406
1994,Small Urban,Interstate,11,1623
2000,Small Urban,Minor Collector,18,
2005,Rural,Other Princ Arterial**,4,
2008,Small Urban,Local,19,2186
1992,Small Urban,Other Princ Arterial,14,2968
2011,Small Urban,Collector/Major Collector,17,1846
2005,Urbanized,Other Fwys & Exp,12,46451
1997,Rural,Minor Arterial,6,16580
1995,Rural,Other Princ Arterial**,2,14737
2002,Rural,Minor Arterial,6,16895
2012,Urbanized,Local,19,38202
2003,Small Urban,Minor Arterial,16,5323
2004,Rural,Other Princ Arterial**,4,
2013,Small Urban,Interstate,11,1828
1994,Rural,Other Princ Arterial**,2,13859
1997,Rural,Interstate,1,16915
1988,Small Urban,Other Princ Arterial,14,4046
2006,Rural,Other Princ Arterial**,4,
1985,Rural,Local,9,9979
2011,Small Urban,Other Princ Arterial,14,3081
1993,Small Urban,Other Fwys & Exp,12,928
2012,Urbanized,Other Princ Arterial,14,47052
2005,Rural,Local,9,12607
1986,Urbanized,Interstate,11,31794
1985,Urbanized,Interstate,11,30083
2016,Rural,Local,9,13119
1992,Rural,Local,9,8876
1988,Small Urban,Minor Arterial,16,2948
1994,Urbanized,Other Princ Arterial,14,44669
2000,Urbanized,Local,19,33969
2007,Urbanized,Other Princ Arterial,14,50536
1985,Small Urban,Collector/Major Collector,17,1380
1993,Rural,Local,9,8812
2015,Rural,Other Princ Arterial**,4,10655
2005,Small Urban,Minor Collector,18,
1986,Small Urban,Minor Arterial,16,2697
2015,Urbanized,Collector/Major Collector*,17,18470
2002,Urbanized,Minor Arterial,16,55560
1991,Urbanized,Local,19,21150
2014,Small Urban,Minor Arterial,16,3773
2009,Urbanized,Local,19,37969
2016,Urbanized,Major Collector,17,18282
2012,Rural,Other Princ Arterial**,2,10766
2009,Urbanized,Other Princ Arterial,14,48979
1998,Rural,Major Collector,7,12905
2007,Small Urban,Minor Arterial,16,5082
1993,Small Urban,Other Princ Arterial,14,2914
1989,Small Urban,Minor Collector,18,
2011,Rural,Other Princ Arterial**,2,10464
2000,Urbanized,Other Princ Arterial,14,42973
1991,Small Urban,Collector/Major Collector,17,1549
2010,Small Urban,Interstate,11,1886
1996,Rural,Interstate,1,16379
1989,Rural,Minor Arterial,6,18724
1987,Urbanized,Interstate,11,33813
1995,Small Urban,Other Princ Arterial,14,2630
2000,Rural,Interstate,1,20143
2013,Urbanized,Local,19,38142
2009,Rural,Minor Arterial,6,13149
2016,Urbanized,Minor Collector,18,297
2006,Rural,Other Princ Arterial**,2,10632
2015,Small Urban,Interstate,11,2536
2010,Rural,Other Princ Arterial**,2,10518
1997,Rural,Other Princ Arterial**,2,14492
1999,Rural,Local,9,12022
2004,Small Urban,Collector/Major Collector,17,2448
1998,Rural,Interstate,1,17599
1996,Rural,Major Collector,7,13859
2000,Urbanized,Minor Arterial,16,53659
1997,Rural,Minor Collector,8,18887
2015,Small Urban,Minor Arterial,16,3716
1994,Urbanized,Local,19,22628
1989,Urbanized,Minor Collector,18,
1992,Urbanized,Minor Collector,18,
1995,Urbanized,Other Fwys & Exp,12,41810
2013,Urbanized,Interstate,11,54279
2010,Rural,Major Collector,7,11383
2002,Rural,Other Princ Arterial**,2,14069
1996,Small Urban,Local,19,1620
2005,Rural,Major Collector,7,13024
1987,Small Urban,Interstate,11,1090
2001,Rural,Minor Arterial,6,17075
1992,Small Urban,Minor Collector,18,
1996,Small Urban,Other Princ Arterial,14,2663
2014,Rural,Major Collector,7,10239
1997,Rural,Major Collector,7,12555
2014,Urbanized,Minor Collector,18,298
2016,Small Urban,Local,19,2396
1991,Rural,Other Princ Arterial**,4,
1989,Small Urban,Other Fwys & Exp,12,914
1990,Small Urban,Other Princ Arterial,14,4529
2006,Small Urban,Other Princ Arterial,14,3412
1996,Small Urban,Other Fwys & Exp,12,962
2006,Small Urban,Local,19,2186
1990,Small Urban,Minor Collector,18,
1988,Small Urban,Local,19,1289
2016,Small Urban,Interstate,11,2557
1998,Small Urban,Other Princ Arterial,14,2744
2003,Small Urban,Local,19,2123
2012,Rural,Local,9,12452
1988,Urbanized,Local,19,20981
2008,Small Urban,Minor Collector,18,
2006,Rural,Minor Collector,8,25996
2013,Small Urban,Minor Arterial,16,4118
1987,Rural,Other Princ Arterial**,2,11485
2007,Rural,Other Princ Arterial**,2,10841
2006,Rural,Local,9,12728
1994,Urbanized,Interstate,11,38451
1988,Small Urban,Interstate,11,1211
1991,Rural,Minor Collector,8,14944
1999,Urbanized,Minor Collector,18,
1992,Urbanized,Local,19,21848
1988,Small Urban,Collector/Major Collector,17,1274
1990,Urbanized,Minor Arterial,16,41264
2014,Urbanized,Minor Arterial,16,45350
2000,Small Urban,Local,19,2059
1986,Small Urban,Local,19,2125
1992,Small Urban,Minor Arterial,16,4658
1997,Small Urban,Local,19,1655
2003,Urbanized,Interstate,11,46476
1998,Rural,Minor Arterial,6,16211
1985,Urbanized,Other Fwys & Exp,12,28396
1999,Rural,Interstate,1,19683
2008,Urbanized,Interstate,11,54101
2005,Rural,Interstate,1,16447
1992,Rural,Minor Arterial,6,15611
1990,Rural,Major Collector,7,14995
2008,Small Urban,Collector/Major Collector,17,2191
1985,Small Urban,Interstate,11,1003
1987,Rural,Interstate,1,14161
1999,Rural,Major Collector,7,13582
1994,Small Urban,Local,19,1450
2004,Rural,Local,9,12607
2012,Small Urban,Interstate,11,1829
2015,Urbanized,Local,19,37814
1989,Urbanized,Other Princ Arterial,14,42391
2000,Small Urban,Collector/Major Collector,17,2568
1989,Small Urban,Minor Arterial,16,3110
1998,Rural,Other Princ Arterial**,2,14710
2012,Urbanized,Interstate,11,52882
1987,Small Urban,Other Fwys & Exp,12,762
2004,Rural,Major Collector,7,15426
1996,Rural,Other Princ Arterial**,2,14992
1993,Small Urban,Minor Arterial,16,4676
2010,Small Urban,Minor Collector,18,
1997,Urbanized,Minor Collector,18,
1991,Urbanized,Collector/Major Collector*,17,16274
1989,Rural,Major Collector,7,15168
1995,Urbanized,Minor Arterial,16,43977
1985,Rural,Major Collector,7,12125
2006,Urbanized,Other Fwys & Exp,12,46959
1995,Small Urban,Local,19,1596
2000,Rural,Local,9,11636
1986,Small Urban,Other Fwys & Exp,12,699
1988,Rural,Other Princ Arterial**,2,11498
2008,Small Urban,Minor Arterial,16,4892
1999,Urbanized,Other Princ Arterial,14,42386
1998,Small Urban,Minor Arterial,16,5061
1998,Urbanized,Other Princ Arterial,14,47834
1995,Rural,Minor Arterial,6,14396
2015,Rural,Local,9,12060
1989,Rural,Minor Collector,8,14269
1990,Small Urban,Minor Arterial,16,3195
2009,Urbanized,Interstate,11,54115
2009,Rural,Minor Collector,8,25819
1989,Small Urban,Other Princ Arterial,14,4132
2002,Rural,Interstate,1,20862
2001,Small Urban,Other Princ Arterial,14,2815
2004,Small Urban,Minor Arterial,16,5335
1989,Rural,Local,9,9273
2013,Rural,Interstate,1,17340
2009,Small Urban,Other Fwys & Exp,12,430
1997,Small Urban,Other Fwys & Exp,12,998
1998,Rural,Other Princ Arterial**,4,
2000,Urbanized,Minor Collector,18,
2003,Urbanized,Minor Collector,18,
1999,Urbanized,Other Fwys & Exp,12,41586
1987,Rural,Minor Arterial,6,17293
2004,Small Urban,Interstate,11,2694
1990,Urbanized,Interstate,11,36858
1991,Small Urban,Local,19,1303
1994,Small Urban,Other Princ Arterial,14,3033
1986,Urbanized,Other Fwys & Exp,12,29614
2011,Urbanized,Other Princ Arterial,14,47040
2011,Rural,Local,9,12587
1996,Small Urban,Interstate,11,1731
2002,Small Urban,Other Fwys & Exp,12,650
2013,Urbanized,Other Princ Arterial,14,47511
2001,Urbanized,Interstate,11,45639
1992,Rural,Major Collector,7,14113
2010,Rural,Interstate,1,16807
2012,Small Urban,Minor Arterial,16,4546
2000,Rural,Minor Arterial,6,17015
2003,Rural,Other Princ Arterial**,2,14354
2013,Small Urban,Minor Collector,18,
2010,Urbanized,Minor Arterial,16,49121
1996,Rural,Other Princ Arterial**,4,
1998,Urbanized,Minor Arterial,16,46604
2014,Small Urban,Minor Collector,18,157
1998,Rural,Minor Collector,8,21290
2001,Small Urban,Minor Collector,18,
2009,Urbanized,Other Fwys & Exp,12,45822
2015,Rural,Minor Collector,8,25154
1989,Urbanized,Collector/Major Collector*,17,14049
2003,Small Urban,Collector/Major Collector,17,2476
1985,Urbanized,Local,19,16054
1999,Small Urban,Minor Collector,18,
2005,Small Urban,Other Princ Arterial,14,3456
2003,Small Urban,Interstate,11,2621
1994,Small Urban,Minor Arterial,16,4760
2005,Urbanized,Collector/Major Collector*,17,26270
2013,Small Urban,Local,19,2185
2011,Rural,Major Collector,7,11302
2002,Urbanized,Interstate,11,45896
2000,Urbanized,Collector/Major Collector*,17,18514
1996,Urbanized,Minor Collector,18,
2005,Urbanized,Minor Arterial,16,57938
1989,Urbanized,Other Fwys & Exp,12,35599
2001,Rural,Other Princ Arterial**,2,14027
2011,Small Urban,Interstate,11,1814
2001,Small Urban,Local,19,2052
1991,Small Urban,Minor Collector,18,
2011,Small Urban,Local,19,2195
1999,Rural,Other Princ Arterial**,4,
2001,Urbanized,Other Fwys & Exp,12,43140
2006,Rural,Major Collector,7,12200
2009,Small Urban,Collector/Major Collector,17,2189
2002,Small Urban,Interstate,11,2529
1992,Small Urban,Collector/Major Collector,17,1866
2010,Small Urban,Other Princ Arterial,14,3226
2009,Rural,Interstate,1,16679
1992,Urbanized,Interstate,11,38078
2011,Urbanized,Collector/Major Collector*,17,18724
2007,Rural,Minor Collector,8,25996
1993,Urbanized,Minor Collector,18,
2016,Rural,Major Collector,7,10303
2010,Rural,Minor Arterial,6,13108
2006,Urbanized,Minor Arterial,16,60855
2000,Rural,Minor Collector,8,23489
2005,Urbanized,Interstate,11,54025
2009,Small Urban,Interstate,11,1886
2006,Small Urban,Collector/Major Collector,17,2307
1997,Urbanized,Other Princ Arterial,14,48059
1999,Small Urban,Other Princ Arterial,14,2750
1989,Small Urban,Interstate,11,1240
1991,Urbanized,Minor Arterial,16,43696
2004,Urbanized,Other Princ Arterial,14,45594
1987,Urbanized,Other Fwys & Exp,12,30860
2014,Rural,Minor Collector,8,25373
2003,Urbanized,Minor Arterial,16,56719
1996,Urbanized,Minor Arterial,16,44315
2009,Small Urban,Minor Collector,18,
2004,Small Urban,Local,19,2165
1986,Rural,Minor Collector,8,12077
1988,Urbanized,Other Princ Arterial,14,41996
1998,Small Urban,Local,19,1866
2011,Small Urban,Minor Collector,18,
1992,Rural,Minor Collector,8,16130
1995,Small Urban,Other Fwys & Exp,12,944
2002,Urbanized,Local,19,36917
1990,Rural,Minor Arterial,6,19234
2007,Small Urban,Collector/Major Collector,17,2364
2003,Small Urban,Other Princ Arterial,14,2868
1990,Rural,Other Princ Arterial**,4,
1992,Small Urban,Interstate,11,1471
2008,Rural,Minor Arterial,6,13140
2013,Urbanized,Minor Arterial,16,46138
2008,Urbanized,Minor Arterial,16,52264
1985,Rural,Other Princ Arterial**,4,
1986,Rural,Other Princ Arterial**,2,10527
1986,Small Urban,Collector/Major Collector,17,1138
1993,Rural,Major Collector,7,13621
2014,Rural,Local,9,12249
2006,Urbanized,Local,19,37950
1990,Urbanized,Minor Collector,18,
1985,Rural,Other Princ Arterial**,2,10299
2016,Urbanized,Minor Arterial,16,44936
2006,Urbanized,Interstate,11,54624
2006,Rural,Interstate,1,17149
1993,Rural,Minor Collector,8,16806
1995,Rural,Major Collector,7,13661
2002,Urbanized,Other Princ Arterial,14,43464
2007,Small Urban,Local,19,2186
2014,Small Urban,Other Fwys & Exp,12,539
1991,Rural,Local,9,9394
2016,Rural,Interstate,1,16094
2011,Rural,Minor Arterial,6,12987
2007,Urbanized,Collector/Major Collector*,17,22797
2002,Rural,Local,9,12629
2003,Rural,Minor Arterial,6,17146
1997,Small Urban,Collector/Major Collector,17,2904
2012,Small Urban,Minor Collector,18,
2009,Rural,Major Collector,7,11541
1996,Rural,Local,9,8977
2003,Rural,Interstate,1,21718
1995,Urbanized,Other Princ Arterial,14,43970
2015,Urbanized,Other Princ Arterial,14,48732
1994,Rural,Other Princ Arterial**,4,
1985,Small Urban,Minor Collector,18,
2010,Urbanized,Collector/Major Collector*,17,19941
2008,Urbanized,Other Fwys & Exp,12,45420
1993,Urbanized,Other Fwys & Exp,12,42505
1987,Small Urban,Local,19,2130
2006,Urbanized,Collector/Major Collector*,17,28119
2000,Small Urban,Minor Arterial,16,5270
2011,Small Urban,Minor Arterial,16,4700
2009,Small Urban,Other Princ Arterial,14,3271
1995,Urbanized,Minor Collector,18,
2006,Small Urban,Minor Collector,18,
2001,Rural,Minor Collector,8,24392
1998,Urbanized,Minor Collector,18,
1985,Urbanized,Other Princ Arterial,14,38629
2006,Rural,Minor Arterial,6,13984
2012,Small Urban,Collector/Major Collector,17,1835
2013,Rural,Other Princ Arterial**,2,1705
2003,Rural,Major Collector,7,14934
1994,Urbanized,Minor Arterial,16,44844
2009,Rural,Local,9,12689
1997,Urbanized,Local,19,27314
1986,Rural,Interstate,1,13302
1991,Urbanized,Interstate,11,36800
2003,Small Urban,Minor Collector,18,
2010,Rural,Minor Collector,8,25750
1995,Rural,Interstate,1,15842
2010,Urbanized,Interstate,11,53776
1993,Small Urban,Collector/Major Collector,17,2516
2005,Urbanized,Other Princ Arterial,14,50744
2003,Urbanized,Other Princ Arterial,14,44326
2001,Urbanized,Local,19,34920
1991,Rural,Other Princ Arterial**,2,12620
1987,Urbanized,Minor Collector,18,
2011,Urbanized,Local,19,38155
2001,Small Urban,Other Fwys & Exp,12,647
2014,Urbanized,Other Princ Arterial,14,48680
1992,Urbanized,Minor Arterial,16,43293
2013,Rural,Local,9,12333
1997,Urbanized,Interstate,11,41742
2002,Small Urban,Minor Collector,18,
1988,Rural,Interstate,1,14544
1987,Small Urban,Other Princ Arterial,14,3776
2007,Rural,Other Princ Arterial**,4,
1999,Urbanized,Local,19,35095
2011,Small Urban,Other Fwys & Exp,12,578
2011,Rural,Minor Collector,8,25683
2008,Rural,Other Princ Arterial**,2,10576
2002,Urbanized,Collector/Major Collector*,17,18978
1990,Urbanized,Other Princ Arterial,14,41707
1992,Small Urban,Other Fwys & Exp,12,875
1992,Small Urban,Local,19,1419
2007,Small Urban,Minor Collector,18,
2015,Urbanized,Minor Arterial,16,44606
1996,Urbanized,Other Fwys & Exp,12,42542
1994,Small Urban,Collector/Major Collector,17,1907
2010,Urbanized,Minor Collector,18,
1990,Urbanized,Other Fwys & Exp,12,38611
2007,Urbanized,Local,19,37950
1989,Small Urban,Local,19,1315
1995,Urbanized,Interstate,11,39705
2010,Small Urban,Minor Arterial,16,4722
2015,Rural,Interstate,1,15663
2002,Small Urban,Minor Arterial,16,5227
1993,Rural,Minor Arterial,6,15374
1991,Small Urban,Minor Arterial,16,3059
1985,Small Urban,Other Princ Arterial,14,3939
2013,Rural,Minor Collector,8,25425
2012,Small Urban,Other Fwys & Exp,12,567
1996,Small Urban,Minor Collector,18,
2012,Rural,Interstate,1,16869
2005,Rural,Minor Arterial,6,13982
2016,Small Urban,Other Fwys & Exp,12,533
2004,Rural,Minor Arterial,6,16953
1994,Small Urban,Other Fwys & Exp,12,894
1986,Small Urban,Interstate,11,998
2005,Rural,Other Princ Arterial**,2,10864
2014,Rural,Other Princ Arterial**,4,10706
1986,Rural,Minor Arterial,6,16464
2008,Urbanized,Other Princ Arterial,14,49124
2003,Small Urban,Other Fwys & Exp,12,658
2014,Rural,Other Princ Arterial**,2,1487
1998,Small Urban,Interstate,11,1847
2016,Small Urban,Collector/Major Collector,17,1860
2016,Small Urban,Minor Collector,18,165
1986,Rural,Other Princ Arterial**,4,
2008,Urbanized,Local,19,37797
1997,Rural,Other Princ Arterial**,4,
1988,Rural,Major Collector,7,14296
1990,Rural,Minor Collector,8,14547
1990,Small Urban,Other Fwys & Exp,12,873
2012,Small Urban,Other Princ Arterial,14,3200
2010,Small Urban,Collector/Major Collector,17,1868
2010,Urbanized,Other Fwys & Exp,12,45740
1993,Rural,Other Princ Arterial**,4,
1988,Urbanized,Minor Arterial,16,43943
2004,Urbanized,Interstate,11,48275
1986,Small Urban,Other Princ Arterial,14,3761
2004,Small Urban,Minor Collector,18,
1989,Rural,Other Princ Arterial**,4,
2011,Rural,Other Princ Arterial**,4,
2014,Urbanized,Interstate,11,55621
2010,Small Urban,Local,19,2198
2005,Rural,Minor Collector,8,25748
2009,Rural,Other Princ Arterial**,2,10429
1998,Small Urban,Minor Collector,18,
2013,Rural,Other Princ Arterial**,4,10729
1988,Rural,Minor Arterial,6,17664
2014,Urbanized,Other Fwys & Exp,12,47370
1996,Rural,Minor Arterial,6,14643
2007,Urbanized,Minor Collector,18,
2008,Rural,Major Collector,7,11306
1988,Small Urban,Other Fwys & Exp,12,861
1996,Urbanized,Local,19,25670
1991,Small Urban,Interstate,11,1155
1997,Small Urban,Interstate,11,1791
1987,Small Urban,Collector/Major Collector,17,1260
2000,Urbanized,Other Fwys & Exp,12,42598
2008,Rural,Local,9,12728
1987,Urbanized,Local,19,17990
2002,Small Urban,Collector/Major Collector,17,2502
2002,Small Urban,Local,19,2169
2016,Rural,Minor Arterial,6,9304
1997,Rural,Local,9,9356
2016,Urbanized,Local,19,40518
2015,Rural,Minor Arterial,6,9448
2013,Small Urban,Other Princ Arterial,14,3622
2015,Rural,Other Princ Arterial**,2,1476
1992,Rural,Other Princ Arterial**,4,
2007,Urbanized,Interstate,11,54596
1995,Rural,Other Princ Arterial**,4,
1986,Urbanized,Other Princ Arterial,14,38737
1992,Rural,Interstate,1,14703
1986,Urbanized,Local,19,17599
1990,Rural,Other Princ Arterial**,2,12509
1995,Urbanized,Collector/Major Collector*,17,23790
2008,Rural,Minor Collector,8,25868
1993,Rural,Interstate,1,14951
2011,Rural,Interstate,1,16852
2004,Urbanized,Other Fwys & Exp,12,46310
1985,Urbanized,Minor Arterial,16,38122
1997,Urbanized,Other Fwys & Exp,12,40003
2004,Rural,Minor Collector,8,25748
2003,Rural,Minor Collector,8,25243
1988,Rural,Local,9,9133
2014,Small Urban,Local,19,2119
2006,Urbanized,Other Princ Arterial,14,50243
1992,Urbanized,Collector/Major Collector*,17,19446
1999,Small Urban,Local,19,2127
2000,Rural,Other Princ Arterial**,4,
2001,Small Urban,Interstate,11,2493
1995,Rural,Minor Collector,8,17373
1996,Small Urban,Collector/Major Collector,17,2593
1991,Small Urban,Other Princ Arterial,14,4259
2013,Urbanized,Minor Collector,18,
2004,Small Urban,Other Fwys & Exp,12,702
2016,Small Urban,Minor Arterial,16,3600
1991,Urbanized,Other Fwys & Exp,12,36836
2013,Small Urban,Collector/Major Collector,17,1828
1993,Urbanized,Local,19,22155
2012,Rural,Minor Collector,8,25609
2007,Rural,Local,9,12728
1989,Small Urban,Collector/Major Collector,17,1333
1993,Small Urban,Interstate,11,1585
1989,Urbanized,Local,19,21136
1986,Urbanized,Minor Arterial,16,41101
2001,Rural,Other Princ Arterial**,4,
1991,Rural,Minor Arterial,6,19014
2009,Small Urban,Local,19,2193
1988,Small Urban,Minor Collector,18,
1990,Small Urban,Local,19,1393
2010,Urbanized,Local,19,38107
2009,Urbanized,Minor Collector,18,
2009,Rural,Other Princ Arterial**,4,
2011,Urbanized,Minor Collector,18,
1996,Urbanized,Collector/Major Collector*,17,24137
2007,Small Urban,Other Fwys & Exp,12,467
2003,Rural,Other Princ Arterial**,4,
1986,Urbanized,Collector/Major Collector*,17,12648
2010,Small Urban,Other Fwys & Exp,12,450
2008,Small Urban,Interstate,11,1952
2012,Urbanized,Other Fwys & Exp,12,46155
1993,Urbanized,Other Princ Arterial,14,42148
1997,Small Urban,Minor Arterial,16,5110
2002,Small Urban,Other Princ Arterial,14,2819
1998,Urbanized,Interstate,11,42514
1991,Urbanized,Minor Collector,18,
1985,Rural,Interstate,1,12264
2000,Small Urban,Other Princ Arterial,14,2779
2008,Rural,Other Princ Arterial**,4,
2007,Rural,Interstate,1,17351
2014,Rural,Minor Arterial,6,9467
1988,Rural,Minor Collector,8,15263
1994,Urbanized,Collector/Major Collector*,17,20143
2012,Urbanized,Collector/Major Collector*,17,18502
2012,Small Urban,Local,19,2193
1992,Urbanized,Other Fwys & Exp,12,38271
1999,Urbanized,Minor Arterial,16,49443
2011,Urbanized,Other Fwys & Exp,12,45791
2001,Small Urban,Minor Arterial,16,5216
2007,Rural,Major Collector,7,11573
2007,Urbanized,Other Fwys & Exp,12,46501
2014,Small Urban,Other Princ Arterial,14,3574
1992,Rural,Other Princ Arterial**,2,13466
1999,Small Urban,Minor Arterial,16,5114
1988,Urbanized,Other Fwys & Exp,12,33217
1997,Urbanized,Minor Arterial,16,47313
2013,Rural,Major Collector,7,10997
1991,Rural,Major Collector,7,15312
2004,Rural,Other Princ Arterial**,2,14748
2004,Urbanized,Minor Arterial,16,55569
2004,Rural,Interstate,1,22250
2003,Urbanized,Other Fwys & Exp,12,44567
2001,Rural,Interstate,1,20707
1999,Small Urban,Other Fwys & Exp,12,644
2003,Urbanized,Collector/Major Collector*,17,19944
2008,Rural,Interstate,1,16874
2008,Small Urban,Other Princ Arterial,14,3292
1988,Urbanized,Minor Collector,18,
2000,Urbanized,Interstate,11,44824
